N4908 130051.6 +280234 14.6  8   0.9   0.8  49  44828 MCG 5-31-92           
N4909 130201.7 -424618 13.6  8   1.9   1.7  28  44949 ESO 269-35            
N4910 125800.9 +013432 12.1  8   4.9   1.3  80  44392 NGC 4845              
N4911 130056.3 +274725 13.6  8   1.2   1.1 127  44840 UGC 8128              
N4911A130054.0 +274704 15.9  8   0.4   0.2  45  83751 DRCG 27-62            
N4912 130045.5 +372200       0   0.0   0.0   0                              
N4913 130046.5 +372040       0   0.0   0.0   0                              
N4914 130042.9 +371853 12.5  8   3.5   2.1 155  44807 UGC 8125              
N4915 130128.1 -043246 13.1  8   1.6   1.3  55  44891 MCG -1-33-69          
N4916 130054.5 +372140       0   0.0   0.0   0                              
N4917 130055.5 +471321 14.7  8   1.5   1.0 160  44838 UGC 8130              
N4918 130150.7 -043002 15.3  8   1.1   0.5  71  44934                       
N4919 130117.6 +274831 15.0  8   1.1   0.7 140  44885 UGC 8133              
N4920 130204.2 -112242 14.1  8   1.0   0.7 170  44958 IC 4134               
N4921 130126.3 +275308 13.3  8   2.4   2.1 165  44899 UGC 8134              
N4922 130124.7 +291828 14.2  8   1.3   1.0 129  44896 UGC 8135              
N4922 130125.3 +291847 15.0  8   0.6   0.5  15  86794 UGC 8135              
N4923 130131.8 +275049 14.7  8   0.8   0.8   0  44903 MCG 5-31-101          
N4924 130212.9 -145809 13.7  8   1.9   1.3  60  44977 MCG -2-33-96          
N4925 130207.3 -074238 14.1  8   1.0   0.7 135  44967 MCG -1-33-74          
N4926 130153.9 +273728 14.0  8   1.1   1.0  57  44938 UGC 8142              
N4926A130208.1 +273853 15.2  8   0.7   0.4  90  44968 MCG 5-31-107          
N4926B130200.9 +273913 16.3  8   0.6   0.3  36  83758 DRCG 27-48            
N4927 130157.6 +280022 14.8  8   0.6   0.4  15  44945 MCG 5-31-104          
N4928 130300.5 -080505 13.5  8   1.1   0.9  50  45052 MCG -1-33-75          
N4929 130244.5 +280243 14.6  8   0.8   0.8   0  45027 MCG 5-31-111          
N4930 130405.1 -412441 12.3  8   4.4   3.6  40  45155 ESO 323-74            
N4931 130301.1 +280155 14.4  8   1.6   0.6  78  45055 UGC 8154              
N4932 130237.5 +502621 14.4  8   1.5   1.3   0  45015 UGC 8150              
N4933 130356.7 -112951 13.0  8   2.0   1.1  54  45146 NGC 4933A             
N4933A130356.7 -112951 13.0  8   2.0   1.1  54  45146 NGC 4933              
N4933B130354.5 -113018 15.2  8   0.6   0.5  69  45142 IC 4173               
N4933C130401.2 -112927 17.5  8   0.5   0.4 135  45143 MCG -2-33-103         
N4934 130316.3 +280148 15.1  8   1.0   0.2 104  45082 UGC 8160              
N4935 130321.2 +142241 14.0  8   1.2   1.0  75  45093 UGC 8159              
N4936 130417.0 -303136 11.7  8   2.7   2.3 168  45174 ESO 443-47            
N4937 130451.9 -471308       3   0.5   0.0   0        ESO 269-?40           
N4938 130257.4 +511909 15.2  8   0.8   0.7  39  45044 MCG 9-21-91           
N4939 130414.3 -102024 12.1  8   5.5   2.8   5  45170 MCG -2-33-104         
N4940 130500.2 -471413 13.3  8   1.0   1.0   0  45235 ESO 269-42            
N4941 130413.0 -053305 12.0  8   3.9   2.7  15  45165 MCG -1-33-77          
N4942 130419.0 -073856 13.7  8   1.6   1.3 145  45177 IC 4136               
N4943 130345.0 +280501 15.6  8   0.5   0.3 111  45129 ZWG 160.122           
N4944 130350.0 +281107 13.8  8   1.5   0.5  89  45133 UGC 8167              
N4945 130526.1 -492746  9.3  8  19.8   4.0  43  45279 ESO 219-24            
N4945A130633.7 -494130 13.0  8   2.5   1.6  55  45380 ESO 219-28            
N4946 130529.2 -433530 13.5  8   1.6   1.2 131  45283 ESO 269-45            
N4947 130520.2 -352013 12.7  8   2.4   1.2  10  45269 IC 3974               
N4947A130420.7 -351342 15.1  8   1.7   0.7  11  45180 ESO 382-4             
N4948 130455.8 -075647 15.2  8   2.0   0.7 145  45224 IC 4156               
N4948A130505.8 -080938 14.0  8   1.5   1.3  20  45242 MCG -1-33-80          
N4949 130418.1 +290145 15.7  8   0.6   0.3 108  45161                       
N4950 130536.4 -433001 14.9  8   0.9   0.7   0  45294 ESO 269-47            
N4951 130507.5 -062939 12.7  8   3.8   1.6  90  45246 MCG -1-33-81          
N4952 130458.5 +290721 13.6  8   1.8   1.1  23  45233 NGC 4962              
N4953 130610.3 -373510 14.1  8   1.2   0.9  46  45349 ESO 382-8             
N4953 130608.1 -373549 15.6  8   0.6   0.4  60  45343 ESO 382-8A            
N4954 130219.3 +752417 14.2  8   0.8   0.6  62  44988 NGC 4972              
N4955 130604.8 -294516 13.1  8   1.9   1.3  23  45340 ESO 443-62            
N4956 130501.0 +351040 13.3  8   1.5   1.5   0  45236 UGC 8177              
N4957 130512.5 +273410 14.0  8   1.2   1.0 100  45253 UGC 8178              
N4958 130548.9 -080112 11.7  8   3.9   1.4   9  45313 MCG -1-33-84          
N4959 130541.0 +331046 15.5  8   0.8   0.8   0  45301 MCG 6-29-29           
N4960 130547.8 +274403 13.8  8   1.6   1.1 100  45311 NGC 4961              
N4961 130547.8 +274403 13.8  8   1.6   1.1 100  45311 NGC 4960              
N4962 130458.5 +290721 13.6  8   1.8   1.1  23  45233 NGC 4952              
N4963 130551.9 +414317 14.2  8   0.8   0.8   0  45315 UGC 8190              
N4964 130524.8 +561923 14.1  8   1.1   0.6 134  45278 UGC 8184              
N4965 130709.2 -281342 12.8  8   2.4   2.0 136  45437 ESO 443-70            
N4966 130617.3 +290346 14.0  8   1.0   0.5 143  45358 UGC 8194              
N4967 130536.4 +533352 15.2  8   0.5   0.4 139  45281 MCG 9-22-5            
N4968 130706.0 -234037 13.8  8   1.9   0.9  56  45426 ESO 508-6             
N4969 130702.4 +133812 14.9  8   0.7   0.6  96  45425 MCG 2-33-55           
N4969 130703.3 +133812 15.5  8   0.3   0.3   0        MCG 2-33-55           
N4970 130733.6 -240032 13.2  8   1.8   1.0 140  45466 IC 4196               
N4971 130654.9 +283255 15.2  8   1.0   1.0   0  45406 MCG 5-31-134          
N4972 130219.3 +752417 14.2  8   0.8   0.6  62  44988 NGC 4954              
N4973 130532.1 +534108 14.9  8   0.7   0.7   0  45280 IC 847                
N4974 130555.9 +533933 14.3  8   1.4   1.2 129  45321 MCG 9-22-9            
N4975 130750.3 -050103 14.9  8   1.1   0.7  46  45492 MCG -1-34-2           
