#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class,K1,K2
"   73P/Schwassmann-Wachmann 3-AF",53839,0.941184912309177,0.676299018237858,11.2397327643991,198.7163902725815,69.84971349851291,20060607.0142232,"JPL 1",Y,,,,,,,4.95797819317181,.0394279,JFc,,
"   73P/Schwassmann-Wachmann 3-AG",53839,0.93903924488354,0.695781146462459,11.4075896405856,198.7052943053087,69.9589661420688,20060608.9984569,"JPL 4",Y,,,,,,,5.42318760944666,.0407789,JFc,,
"   73P/Schwassmann-Wachmann 3-AH",53839,0.942986614671515,0.69335823324,11.330632437678,197.7396253755624,70.70742060713012,20060608.6296412,"JPL 3",Y,,,,,,,5.39286478917067,.0401536,JFc,,
"   73P/Schwassmann-Wachmann 3-AI",53836,.9388880724294173,.698251127367121,11.43065377185697,198.7294365495064,69.9710912389646,20060608.6995721,"JPL 4",Y,21.3,,,,,,5.48858571222787,.0407103,JFc,10.0,
"   73P/Schwassmann-Wachmann 3-AJ",53839,0.936080103000306,0.800195285662543,12.1493175429657,196.7656541361871,72.06227489809055,20060608.0111745,"JPL 2",Y,21.3,,,,,,10.1407278330903,.0466078,JFc,10.0,
"   73P/Schwassmann-Wachmann 3-AK",53839,0.937705211325409,0.69335823324,11.4294972671815,199.3256981265443,69.37619102093456,20060608.3826940,"JPL 3",Y,18.8,,,,,,5.34762240191595,.0403185,JFc,30.0,
"   73P/Schwassmann-Wachmann 3-AL",53839,0.938768583919104,0.699842823483816,11.4439332846419,198.7225549045438,69.97977382957781,20060608.4058874,"JPL 2",Y,,,,,,,5.53124539175354,.0408918,JFc,,
"   73P/Schwassmann-Wachmann 3-AM",53839,0.930937163724782,0.69335823324,11.5441980464116,201.0885963512684,68.11933346444872,20060608.2010370,"JPL 1",Y,,,,,,,5.28983092886262,.0409197,JFc,,
"   73P/Schwassmann-Wachmann 3-AN",53839,0.938997323738394,0.694756955270123,11.4051415712495,198.8011953376514,69.89155967192667,20060608.3161787,"JPL 4",Y,,,,,,,5.39555431326974,.0406014,JFc,,
"   73P/Schwassmann-Wachmann 3-AO",53839,0.940750162287031,0.69376877393668,11.325884937118,198.1671916364014,70.38879700338832,20060607.8506011,"JPL 3",Y,,,,,,,5.38450079475938,.0407466,JFc,,
"   73P/Schwassmann-Wachmann 3-AP",53856,0.938745428567555,0.701430092385429,11.4659092912232,198.7426204960793,69.9669785019781,20060606.6097834,"JPL 8",Y,20.3,21.2,,,,,5.57520581298437,.0409957,JFc,10.0,5.0
"   73P/Schwassmann-Wachmann 3-AQ",53856,0.939006436459305,0.695911908759867,11.4136956180962,198.7713164253278,69.92072504439952,20060607.9000490,"JPL 9",Y,17.5,18.5,,,,,5.42640166347363,.0407903,JFc,35.0,5.0
"   73P/Schwassmann-Wachmann 3-AR",53839,0.939204760431714,0.695799013016798,11.406522554195,198.7098465902828,69.96630167530681,20060606.8107967,"JPL 2",Y,21.8,,,,,,5.4250994247122,.040648,JFc,20.0,
"   73P/Schwassmann-Wachmann 3-AS",53852,.9388273500021591,.7009701052570073,11.4609671423153,198.7247613547488,69.97402026227806,20060606.2629993,"JPL 6",Y,20.3,22.3,,,,,5.56307467730175,.0411091,JFc,10.0,5.0
"   73P/Schwassmann-Wachmann 3-AT",53839,0.939628790402723,0.686932227480063,11.3346206138147,198.8104065064084,69.84813048476539,20060606.2886748,"JPL 2",Y,21.0,,,,,,5.19978192644555,.0402083,JFc,10.0,
"   73P/Schwassmann-Wachmann 3-AU",53839,0.939297958829185,0.692822353452358,11.3822058521825,198.758306151452,69.91454525670791,20060608.0976554,"JPL 1",Y,,,,,,,5.3472299051059,.0404992,JFc,,
"   73P/Schwassmann-Wachmann 3-AV",53839,0.939024287616966,0.69335823324,11.3951152975271,198.8335456057121,69.88524740736541,20060606.4955478,"JPL 1",Y,,,,,,,5.35891017438435,.0405264,JFc,,
"   73P/Schwassmann-Wachmann 3-AW",53839,0.940257756426406,0.67730146390118,11.2395964153711,198.8339738442099,69.79453062090771,20060607.9087760,"JPL 2",Y,,,,,,,4.97374020004107,.0397913,JFc,,
"   73P/Schwassmann-Wachmann 3-AX",53839,0.93800953956083,0.692470126439069,11.4277852827943,199.2512703220542,69.46695211432159,20060609.4988419,"JPL 1",Y,,,,,,,5.32706652712761,.0403094,JFc,,
"   73P/Schwassmann-Wachmann 3-AY",53839,0.940193403515323,0.675089956009265,11.2258696408536,198.92203184,69.71151968098572,20060608.9021135,"JPL 2",Y,,,,,,,4.92254048387186,.0396626,JFc,,
"   73P/Schwassmann-Wachmann 3-AZ",53839,0.940317777569168,0.675069986179574,11.2207094103756,198.8670388615369,69.76425985850773,20060606.7046528,"JPL 1",Y,,,,,,,4.92306340434966,.0396971,JFc,,
"   73P/Schwassmann-Wachmann 3-BA",53839,0.940247790214922,0.682432921372534,11.2707509575385,198.6920225956304,69.92099750027795,20060606.5443897,"JPL 1",Y,,,,,,,5.09469833149912,.0400535,JFc,,
"   73P/Schwassmann-Wachmann 3-BB",53839,0.942420571036717,0.682432921372534,11.1901846106183,197.9285670216984,70.47094006423771,20060607.0909983,"JPL 1",Y,,,,,,,5.11236823020815,.0401434,JFc,,
"   73P/Schwassmann-Wachmann 3-BC",53856,0.938807404922457,0.700467515087574,11.4587061463897,198.7461327274749,69.95554650558832,20060606.6066092,"JPL 7",Y,19.8,20.1,,,,,5.54890216767565,.0409545,JFc,50.0,5.0
"   73P/Schwassmann-Wachmann 3-BD",53839,0.946155583556335,0.682439213725336,10.9745482605982,196.4631309954056,71.41848296987524,20060606.1753380,"JPL 1",Y,,,,,,,5.14294327620725,.0403885,JFc,,
