053508.260+0.0000+095602.56-0.006 3.7Oe5                       				   
094109.040-0.0096+095332.29-0.037 3.8+++                :omicron Leonis  		   
194723.277+0.0006+183203.41+0.009 3.8+++                :delta Sagittae  		   
185004.812+0.0004+332145.79-0.002 3.8+++Sheliak         :beta Lyrae  			   
091421.880+0.0087+021851.23-0.310 3.8A0                 :theta Hydrae 			   
144614.948-0.0074+015333.99-0.028 3.8A0                        				   
180732.554+0.0001+284545.04+0.010 3.8A0                 :omicron Herculis  		   
204740.566+0.0024-092944.66-0.033 3.8A0 Albali          :epsilon Aquarii  		   
091850.670-0.0025+364809.49-0.122 3.8A2                        				   
155048.965+0.0085+042839.94+0.064 3.8A2                 :epsilon Serpentis  		   
114536.392-0.0172-664343.31+0.039 3.8A5                 :lambda Muscae  		   
053844.760+0.0001-023600.15+0.001 3.8B0                        				   
064950.463-0.0005-323030.66+0.004 3.8B2p                :kappa Canis Majoris  		   
153839.386-0.0012-294640.28-0.030 3.8B3                        				   
045112.365-0.0001+053618.21-0.001 3.8B3                        				   
173927.894-0.0005+460022.83+0.005 3.8B3                 :iota Herculis  		   
182658.432-0.0014-455805.88-0.048 3.8B3                 :alpha Telescopii  		   
071448.677-0.0006-264621.84+0.006 3.8B3p                       				   
034452.524+0.0013+240648.15-0.045 3.8B5pElectra         				   
032710.160+0.0041+094357.76-0.039 3.8B8                 :xi Tauri  			   
034909.735+0.0012+240312.34-0.046 3.8B8 Atlas           				   
173105.956-0.0073-604101.60-0.095 3.8B8                 :delta Arae  			   
021630.611+0.0104-513044.18-0.028 3.8B8                 :phi Eridani 			   
211447.472+0.0135+380243.93+0.435 3.8F0                        				   
055624.283-0.0029-141004.00+0.138 3.8F0                 :eta Leporis  			   
093131.721+0.0161+630342.74+0.028 3.8F0                        				   
162155.217-0.0033+190911.33+0.045 3.8F0                 :gamma Herculis  		   
