045017.245-0.0009+065659.00+0.005 7.0A2 
050835.274-0.0009+281624.58-0.002 7.0A2 
064204.773+0.0002+031454.66-0.009 7.0A2 
071309.496+0.0018+542937.26+0.009 7.0A2 
072150.810-0.0085+750521.44-0.058 7.0A2 
004937.201-0.0052+474550.30-0.022 7.0A2 
105932.983-0.0043+095551.17-0.001 7.0A2 
145839.108-0.0036+614000.75+0.009 7.0A2 
155456.877-0.0008+342144.61+0.005 7.0A2 
233834.181+0.0008+350200.53-0.020 7.0A2 
104719.165-0.0032+062046.65-0.023 7.0A2 
075242.151+0.0006+032302.22-0.024 7.0A2 
080318.552-0.0006+261603.66-0.003 7.0A2 
174113.787-0.0007+413918.70+0.020 7.0A2 
180940.703+0.0019+502408.04+0.017 7.0A2 
022135.729-0.0010+443600.13-0.005 7.0A2 
060811.632-0.0016+375856.53-0.021 7.0A2 
083401.565-0.0009-250556.17+0.016 7.0A2 
141618.559-0.0037-320329.61-0.028 7.0A2 
164944.431-0.0003-243825.83-0.014 7.0A2 
171916.596-0.0008-312141.72-0.035 7.0A2 
180540.227-0.0002-291639.23-0.042 7.0A2 
195502.611+0.0025-361207.00-0.018 7.0A2 
063839.616+0.0012-375945.55-0.026 7.0A2 
145928.929-0.0042-304241.38-0.030 7.0A2 
200331.344-0.0022-363544.17+0.000 7.0A2 
123807.309-0.0039-555550.82+0.002 7.0A2 
154651.012-0.0026-580730.12-0.037 7.0A2 
193211.783+0.0010-601611.03-0.034 7.0A2 
222721.211-0.0018-580003.28-0.007 7.0A2 
081728.348-0.0012-325209.92+0.040 7.0A2 
090449.920-0.0045-464858.94+0.020 7.0A2 
113514.087-0.0031-353644.41-0.010 7.0A2 
121228.973-0.0020-332419.51-0.011 7.0A2 
125840.815-0.0020-361630.21-0.001 7.0A2 
134300.903-0.0042-301058.30-0.004 7.0A2 
142355.664+0.0020-294033.51+0.005 7.0A2 
143010.183-0.0004-435148.55-0.011 7.0A2 
151409.997-0.0011-382932.23-0.026 7.0A2 
152233.168-0.0005-441733.09-0.009 7.0A2 
155704.874-0.0024-355538.66-0.014 7.0A2 
155824.037-0.0038-440450.63-0.032 7.0A2 
031042.578-0.0037-390305.49+0.008 7.0A2 
031321.866+0.0023-273423.79+0.052 7.0A2 
031632.633+0.0025-354126.88+0.008 7.0A2 
032958.049+0.0009-354454.38-0.022 7.0A2 
042317.940+0.0005-320909.65-0.029 7.0A2 
043033.732-0.0001-230128.39-0.006 7.0A2 
072340.162-0.0038-302657.11+0.025 7.0A2 
141023.487+0.0012-300515.86+0.005 7.0A2 
233240.656+0.0028-450718.77-0.008 7.0A2 
