042836.93 +191049.9 +000107.2-000036.800021.0 03.5301.01K0 0            Ain : epsilon Tauri
081630.95 +091108.4 -000046.8-000048.600011.2 03.5301.48K4 1            Tarf : beta Cancri
113300.26 -315127.1 -000209.1-000041.600025.2 03.5400.95G8 0            
154937.27 -032548.5 -000098.1-000027.400020.9 03.54-0.04A0 1            
173735.23 -152354.3 -000039.3-000061.300030.9 03.5400.26F0 0            
041753.62 -334754.0 +000062.3-000006.800018.3 03.55-0.11B9 0            
054657.35 -144919.0 -000014.8-000001.200046.5 03.5500.10A2 0            
141924.23 -460329.1 -000012.8-000003.800009.3 03.55-0.18B2 0            
182102.34 +724401.3 +000531.1-000351.600124.1 03.5500.49F7 1            
200841.86 -661045.6 +001210.3-001130.300163.7 03.5500.75G5 0            
