#full_name,epoch_mjd,q,a,e,i,w,om,ma,tp_cal,orbit_id,H,G,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class
"  2752 Wu Chien-Shiung (1965 SP)",55600,2.7025888,3.0255567,0.1067466,10.11075,198.54910,186.51827,213.31801,20130401.2143969,MPO121260,11.4,,N,,,,,,,5.2627912605065,,MBA
"  2757 Crisser (1977 VN)",55600,2.5280750,3.1687674,0.2021898,0.68364,50.56905,10.23984,315.49182,20111020.7248499,MPO131712,11.30,,N,,,19.36,,0.1423,,5.640839662423,,MBA
"  2759 Idomeneus (1980 GC)",55400,4.840080027193205,5.176911653489445,.06506420214244965,21.9558815559602,7.456720454223995,171.234804756156,244.5150921277958,20140503.1531746,"JPL 16",9.80,,N,,,61.01,,0.0571,,11.779160316851,3.84678,TJN
"  2760 Kacha (1980 TU6)",55600,3.5023395,3.9809500,0.1202252,13.46583,155.80480,352.80953,166.68475,20070605.7034695,MPO50329,10.04,,N,,,57.90,,0.0508,13.0,7.9430683778234,,OMB
"  2765 Dinant (1981 EY)",55600,2.9639672,3.1441943,0.0573206,14.04079,133.31798,348.28889,165.25658,20080718.1998950,MPO101859,11.8,,N,,,,,,,5.5753516936345,,MBA
"  2767 Takenouchi (1967 UM)",55600,2.7651858,3.0218883,0.0849477,10.87443,251.43482,66.07155,196.10583,20130630.5284134,MPO70180,11.6,,N,,,,,,,5.25322263436,,MBA
"  2774 Tenojoki (1942 TJ)",55600,2.7273199,3.1865223,0.1441077,8.52260,108.70925,291.05008,343.93442,20110511.7187985,MPO177903,11.10,,N,,,35.60,,0.0506,11.2,5.6883153158111,,MBA
"  2781 Kleczek (1982 QH)",55600,2.5615926,3.1494930,0.1866651,2.31098,256.61289,146.85062,352.09098,20110324.8517684,MPO157262,11.7,,N,,,,,,7.306,5.589451254757,,MBA
"  2787 Tovarishch (1978 RC6)",55600,2.8510346,3.0190534,0.0556528,10.32827,61.16464,30.26437,354.41000,20110309.7518462,MPO65989,11.3,,N,,,,,,,5.245832124846,,MBA
"  2791 Paradise (1977 CA)",55600,1.9834071,2.3964394,0.1723525,31.07838,165.85240,336.14012,53.64418,20100721.0851730,MPO159602,11.5,,N,,,,,,9.81,3.7098630354552,,MBA
"  2793 Valdaj (1977 QV)",55600,3.0564255,3.1638722,0.0339605,22.15668,181.54784,356.61304,152.53582,20080920.0440977,MPO153984,10.80,,N,,,27.73,,0.1100,10.594,5.6277733908282,,MBA
"  2797 Teucer (1981 LK)",55400,4.649737309664174,5.105070581472529,.08919235582380855,22.3953346888796,47.24941869373772,69.93162060757136,295.8666560360044,20120811.5548531,"JPL 14",8.40,,N,,,111.14,,0.0624,14.8,11.534820182172,3.70642,TJN
"  2802 Weisell (1939 BU)",55600,2.7301115,3.1136578,0.1231819,9.61775,60.76292,129.43622,342.26720,20110517.8506593,MPO176628,11.0,,N,,,,,,37.74,5.494327344011,,MBA
"  2803 Vilho (1940 WG)",55600,2.5889740,3.1431885,0.1763224,1.33078,43.68978,20.95830,189.32194,20130930.0043428,MPO148743,11.8,,N,,,,,,,5.5726766746064,,MBA
