N7191 220651.2 -643801 13.8  8   1.6   0.6 136  68059 ESO 108-13            
N7192 220649.9 -641858 12.2  8   1.9   1.8  27  68057 ESO 108-12            
N7193 220303.8 +104808       3   5.0   5.0   0                              
N7194 220330.9 +123813 14.3  8   1.1   0.8  20  67945 UGC 11888             
N7195 220330.2 +123941 15.5  8   0.4   0.3  81  67940 MCG 2-56-9            
N7196 220554.8 -500709 12.4  8   2.5   1.9  53  68020 ESO 237-36            
N7197 220257.9 +410334 14.3  8   1.6   0.8 112  67921 UGC 11887             
N7198 220514.1 -003852 14.6  8   1.5   1.0   5  68006 MCG 0-56-8            
N7199 220830.1 -644222 13.9  8   1.1   0.8  30  68124 ESO 108-14            
N7200 220709.6 -495944 13.8  8   1.2   0.8  33  68068 ESO 237-37            
N7201 220632.0 -311550 13.8  8   1.6   0.5 128  68040 ESO 467-4             
N7202 220643.3 -311307       1   0.0   0.0   0                              
N7203 220643.8 -310948 13.6  8   1.6   0.9  72  68053 ESO 467-7             
N7204 220653.1 -310300 14.5  8   1.6   0.8  91  68061 ESO 467-8             
N7204 220655.0 -310313 15.0  8   1.1   0.6  80  68060 ESO 467-8A            
N7205 220833.2 -572633 11.6  8   4.0   2.0  73  68128 ESO 146-9             
N7205A220732.0 -572751 14.5  8   1.2   0.9  65  68083 ESO 146-7             
N7206 220540.9 +164707 14.4  8   1.0   0.7 147  68014 UGC 11904             
N7207 220545.6 +164604 15.8  8   0.6   0.2  93  68017                       
N7208 220824.7 -290305 13.8  8   0.9   0.6 142  68120 ESO 467-10            
N7209 220507.8 +462901       3  15.0   0.0   0        OCL 215               
N7210 220622.0 +270636       0   0.0   0.0   0                              
N7211 220621.8 -080522 15.3  8   1.0   0.7  39  68033 NPM1G -08.0602        
N7212 220702.2 +101405 14.9  8   1.2   0.6  33  68065 UGC 11910             
N7213 220916.2 -471001 11.0  8   3.1   2.8 124  68165 ESO 288-43            
N7214 220907.6 -274835 13.2  8   2.2   1.4 105  68152 ESO 467-12            
N7215 220834.5 +003044 15.0  8   1.1   0.4  88  68127 ZWG 377.31            
N7216 221236.0 -683943 13.5  8   1.7   1.0 133  68291 ESO 76-3              
N7217 220752.1 +312134 11.0  8   4.0   3.4  83  68096 UGC 11914             
N7218 221011.5 -163938 12.7  8   2.6   1.1  24  68199 MCG -3-56-8           
N7219 221308.9 -645056 13.3  8   1.7   1.0  27  68312 ESO 108-19            
N7220 221130.9 -225711 14.5  8   0.9   0.7   3  68241 ESO 532-28            
N7221 221115.1 -303348 12.9  8   2.0   1.6  10  68235 ESO 467-18            
N7222 221051.7 +020623 14.8  8   1.2   1.2   0  68224 UGC 11934             
N7223 221009.2 +410102 13.4  8   1.4   1.1 144  68197 UGC 11931             
N7224 221135.3 +255154 14.6  8   1.6   1.0 110  68242 UGC 11940             
N7225 221307.8 -260854 13.2  8   2.0   1.0 147  68311 ESO 532-33            
N7226 221027.0 +552355       3   2.0   0.0   0        OCL 226               
N7227 221131.3 +384315 14.8  8   1.3   0.6   8  68243 UGC 11942             
N7228 221148.6 +384156 14.7  8   2.1   1.2 156  68254 UGC 11945             
N7229 221403.3 -292300 13.2  8   1.8   1.5 157  68344 ESO 467-24            
N7230 221413.1 -170428 14.9  8   0.9   0.9   0  68350 MCG -3-56-12          
N7231 221230.3 +451943 13.9  8   1.9   0.7  88  68285 UGC 11951             
N7232 221537.6 -455101 12.9  8   2.6   1.0  99  68431 ESO 289-7             
N7232A221341.1 -455337 14.0  8   2.1   0.4 111  68329 ESO 289-3             
N7232B221552.4 -454650 13.6  8   1.6   1.5   0  68443 ESO 289-9             
N7233 221549.0 -455047 13.1  8   1.7   1.3 133  68441 ESO 289-8             
N7234 221225.0 +571616  7.7  3   4.0   0.0   0        NGC 7235              
N7235 221225.0 +571616  7.7  3   4.0   0.0   0        NGC 7234              
N7236 221445.0 +135047 14.6  8   0.6   0.6   0  68384 UGC 11958             
N7237 221446.9 +135027 14.9  8   0.6   0.6   0  68383 UGC 11958             
N7238 221520.0 +223112       1   0.0   0.0   0                              
N7239 221501.3 -050310 15.8  8   1.1   0.7  75  68388 NPM1G -05.0643        
N7240 221522.7 +371650 15.3  8   0.6   0.6   0  68415 MCG 6-48-24           
N7241 221549.7 +191353 13.5  8   3.4   1.1  20  68442 UGC 11968             
N7242 221539.3 +371752 13.9  8   2.3   1.7  30  68434 UGC 11969             
N7243 221508.5 +495351       3  30.0   0.0   0        OCL 221               
N7244 221626.7 +162818 14.6  8   0.7   0.4 174  68468 MCG 3-56-21           
N7245 221518.0 +542000       3   5.0   0.0   0        OCL 225               
N7246 221742.6 -153412 15.4  8   1.5   0.8 162  68512 IC 5198               
N7247 221741.1 -234350 13.4  8   1.4   0.8   2  68511 ESO 533-8             
N7248 221652.5 +403019 13.5  8   1.8   0.9 133  68485 UGC 11972             
N7249 222030.9 -550729 14.4  8   1.1   0.8 136  68606 ESO 190-1             
N7250 221817.7 +403347 13.2  8   1.7   0.8 157  68535 UGC 11980             
N7251 222027.2 -154623 13.6  8   1.9   1.7   0  68604 MCG -3-57-2           
N7252 222044.8 -244042 12.1  8   2.1   1.7 119  68612 ESO 533-15            Atoms for Peace Galaxy           
N7253 221927.3 +292349 14.4  8   1.7   0.8 116  68572 NGC 7253A             
N7253 221930.0 +292316 15.0  8   1.6   0.5  71  68573 NGC 7253B             
N7253A221927.3 +292349 14.4  8   1.7   0.8 116  68572 NGC 7253-1            
N7253B221930.0 +292316 15.0  8   1.6   0.5  71  68573 NGC 7253-2            
N7254 222236.0 -214405 14.0  8   1.3   0.6 122  68686 NGC 7256              
N7255 222308.0 -153228 15.0  8   1.3   0.4 123  68721 MCG -3-57-6           
N7256 222236.0 -214405 14.0  8   1.3   0.6 122  68686 NGC 7254              
N7257 222236.5 -040715 13.7  8   1.9   1.4  33  68691 NGC 7260              
N7258 222258.1 -282043 13.9  8   1.4   0.6 141  68710 ESO 467-49            
N7259 222305.6 -285716 13.9  8   1.1   0.9  49  68718 ESO 467-50            
N7260 222236.5 -040715 13.7  8   1.9   1.4  33  68691 NGC 7257              
N7261 222011.0 +580718       3   6.0   0.0   0        OCL 237               
N7262 222328.4 -322153 14.8  8   0.8   0.7  96  68737 ESO 405-17            
N7263 222145.2 +362059 15.6  8   0.8   0.7  60  68642 MCG 6-49-4            
N7263 222146.0 +362109 16.0  8   0.4   0.4   0        MCG 6-49-4            
N7264 222213.5 +362313 14.6  8   2.2   0.3  57  68658 UGC 12001             
N7265 222227.5 +361237 13.3  8   2.4   1.9 170  68668 UGC 12004             
N7266 222359.0 -040423 14.8  8   0.9   0.7  95  68758 MCG -1-57-6           
N7267 222421.5 -334136 12.9  8   1.6   1.4   6  68780 ESO 405-18            
N7268 222540.6 -311204 14.3  8   1.1   0.6  83  68847 ESO 467-57            
N7268A222542.2 -311201 15.5  8   1.1   0.6  83  68848 ESO 467-57A           
N7269 222546.8 -131001 14.5  8   1.0   0.7 140  68841 MCG -2-57-5           
N7270 222347.5 +322411 14.9  8   0.9   0.6  93  68748 UGC 12019             
N7271 222357.5 +322203 16.6  8   0.7   0.3 117  68753 MCG 5-52-16           
N7272 222431.6 +163519 14.7  8   0.9   0.8  39  68786 UGC 12028             
N7273 222409.1 +361201 14.8  8   0.8   0.5   3  68768 MCG 6-49-12           
N7274 222411.0 +360735 14.3  8   1.5   1.5   0  68770 UGC 12026             
N7275 222417.3 +322649 15.1  8   0.9   0.2  37  68774 UGC 12025             
N7276 222414.3 +360517 14.9  8   0.9   0.9   0  68773 MCG 6-49-14           
N7277 222610.9 -310845 14.1  8   1.5   0.6 125  68861 ESO 467-59            
N7278 222822.6 -601010 15.2  8   0.8   0.5   4  68940 ESO 146-27            
N7279 222712.6 -350824 14.3  8   1.2   0.8  68  68896 ESO 405-21            
N7280 222627.6 +160854 13.0  8   2.1   1.5  78  68870 UGC 12035             
N7281 222456.0 +574915       3  12.0   0.0   0        OCL 238               
N7282 222553.9 +401856 14.9  8   2.5   1.0  15  68843 UGC 12034             
N7283 222832.7 +172815 15.3  8   0.9   0.4   9  68946 MCG 3-57-12           
N7284 222835.8 -245040 13.0  8   2.3   1.6 133  68950 ESO 533-31            
N7285 222837.8 -245026 12.8  8   2.1   1.5 100  68953 ESO 533-32            
N7286 222750.5 +290548 13.5  8   1.6   0.7  98  68922 UGC 12043             
N7287 222848.4 -221212 16.0  8   0.5   0.3   6  68959 ESO 602-20            
N7287A222848.9 -221208 16.0  8   0.3   0.2 162  68960 ESO 602-20A           
N7288 222814.9 -025305 13.9  8   2.3   1.5  95  68933 MCG -1-57-13          
N7289 222920.1 -352819 14.2  8   1.3   1.0 165  68980 ESO 405-23            
N7290 222826.5 +170852 13.8  8   1.6   1.0 161  68942 UGC 12045             
N7291 222829.4 +164701 14.5  8   1.8   1.7  54  68944 UGC 12047             
N7292 222825.7 +301735 13.0  8   2.1   1.6 117  68941 UGC 12048             
N7293 222938.4 -205011  7.5  6  17.6   0.0   0        PK 36-57.1            Helix Nebula           
N7294 223207.8 -252353 13.5  8   2.0   1.2  47  69088 IC 5225               
N7295 222802.0 +521826  9.7  3   4.0   0.0   0        NGC 7296              
N7296 222802.0 +521826  9.7  3   4.0   0.0   0        NGC 7295              
N7297 223110.2 -374937 14.5  8   0.9   0.6 130  69046 ESO 345-18            
N7298 223050.6 -141119 14.4  8   1.3   1.1   5  69033 MCG -2-57-10          
N7299 223133.0 -374835 14.8  8   0.7   0.7   0  69060 ESO 345-19            
N7300 223059.9 -140011 13.7  8   2.1   1.0 160  69040 MCG -2-57-11          
N7301 223034.8 -173425 14.1  8   1.0   0.5   1  69021 ESO 602-23            
N7302 223223.9 -140715 13.3  8   1.8   1.1  97  69094 IC 5228               
N7303 223133.0 +305724 13.6  8   1.5   1.1 125  69061 UGC 12065             
N7304 223144.4 +305849       1   0.0   0.0   0                              
N7305 223213.9 +114246 15.1  8   0.7   0.6  15  69091 MCG 2-57-3            
N7306 223316.4 -271445 13.5  8   1.7   0.7  60  69132 ESO 468-11            
N7307 223352.4 -405605 12.9  8   3.4   1.0   9  69161 ESO 345-26            
N7308 223432.0 -125601 14.7  8   1.2   0.9 145  69194 IC 1448               
N7309 223420.6 -102122 13.2  8   2.0   1.7  32  69183 MCG -2-57-16          
N7310 223436.8 -222906 14.7  8   0.9   0.7  36  69202 ESO 533-49            
N7311 223406.7 +053412 13.4  8   1.6   0.8  10  69172 UGC 12080             
N7312 223434.9 +054903 14.3  8   1.5   0.8  83  69198 UGC 12083             
N7313 223532.4 -260607 15.0  8   0.7   0.5 170  69242 ESO 533-52            
N7314 223545.9 -260301 11.6  8   4.6   2.0   3  69253 ESO 533-53            
N7315 223531.6 +344814 13.7  8   1.6   1.6   0  69241 UGC 12097             
N7316 223556.2 +201920 13.6  8   1.1   0.9  60  69259 UGC 12098             
N7317 223551.9 +335643 14.6  8   0.4   0.4   0  69256 MCG 6-49-38           Stephan's Quintet
N7318 223556.7 +335758 14.4  8   1.2   1.0   5  69260 NGC 7318A             Stephan's Quintet            
N7318 223558.3 +335800 14.0  8   1.6   1.1  99  69263 NGC 7318B             
N7318A223556.7 +335758 14.4  8   1.2   1.0   5  69260 NGC 7318-1            
N7318B223558.3 +335800 14.0  8   1.6   1.1  99  69263 NGC 7318-2            
N7319 223603.5 +335835 14.1  8   1.4   1.1  52  69269 UGC 12102             Stephan's Quintet           
N7320 223603.5 +335654 13.2  8   2.2   1.1 132  69270 UGC 12101             Stephan's Quintet           
N7320A223632.2 +334746 16.0  8   0.4   0.2  45                              
N7320B223728.1 +335524 15.6  8   0.6   0.2  50  69346 ZWG 514.72            
N7320C223620.3 +335908 16.9  8   0.6   0.4 172  69279 MCG 6-49-43           
N7321 223627.9 +213719 13.8  8   1.6   1.1  12  69287 UGC 12103             
N7322 223751.4 -371353 14.5  8   0.9   0.6 114  69365 NGC 7334              
N7323 223653.5 +190840 13.9  8   1.4   1.1 170  69311 UGC 12108             
N7324 223701.0 +190848 15.0  8   1.0   0.8 168  69321 MCG 3-57-26           
N7325 223648.6 +342202       1   0.0   0.0   0                              
N7326 223652.1 +342525       1   0.0   0.0   0                              
N7327 223657.2 +342803       1   0.0   0.0   0                              
N7328 223729.2 +103154 14.1  8   2.0   0.7  88  69349 UGC 12118             
N7329 224024.2 -662845 12.4  8   3.7   2.7 107  69453 ESO 109-12            
N7330 223656.1 +383253 13.3  8   1.4   1.4   0  69314 UGC 12111             
N7331 223705.1 +342513 10.3  8  10.2   4.2 171  69327 UGC 12113             
N7332 223724.6 +234753 12.0  8   4.1   1.1 155  69342 UGC 12115             
N7333 223711.7 +342615       1   0.0   0.0   0                              
N7334 223751.4 -371353 14.5  8   0.9   0.6 114  69365 NGC 7322              
N7335 223719.5 +342654 14.7  8   1.2   0.6 151  69338 UGC 12116             
N7336 223721.9 +342856 15.4  8   0.8   0.4 139  69337 MCG 6-49-49           
N7337 223726.6 +342226 15.4  8   1.0   0.8 177  69344 UGC 12120             
N7338 223731.2 +342453       1   0.0   0.0   0                              
N7339 223747.0 +234711 13.1  8   2.8   0.7  93  69364 UGC 12122             
N7340 223744.1 +342438 14.9  8   0.9   0.6 162  69362 MCG 6-49-52           
N7341 223905.6 -223959 13.3  8   2.4   1.0  94  69412 ESO 534-11            
N7342 223813.2 +352955 14.9  8   1.3   1.3   0  69374 UGC 12126             
N7343 223837.8 +340418 14.3  8   1.0   0.8 160  69391 UGC 12129             
N7344 223936.1 -040932 14.5  8   1.5   0.8  15  69433 MCG -1-57-20          
N7345 223844.9 +353226 15.2  8   1.2   0.2  39  69401 UGC 12130             
N7346 223935.4 +110502 15.7  8   0.4   0.3  48  69430 ZWG 429.17            
N7347 223956.0 +110140 14.6  8   1.5   0.3 133  69443 UGC 12136             
N7348 224036.2 +115422 14.7  8   1.1   0.6  12  69463 UGC 12142             
N7349 224114.7 -214748 15.1  8   1.0   0.5 166  69488 ESO 603-4             
N7350 224048.2 +120025       1   0.0   0.0   0                              
N7351 224126.9 -042639 13.9  8   1.8   1.0 177  69489 MCG -1-57-22          
N7352 223943.0 +572342       0   0.0   0.0   0                              
N7353 224212.5 +115238 15.9  8   0.6   0.5   0  85285 KUG 2239+116          
N7354 224020.0 +611710 12.9  6   0.6   0.0   0        PK 107+2.1            
N7355 224330.4 -365155 15.1  8   1.0   0.4  43  69587 ESO 406-6             
N7356 224202.3 +304234 14.9  8   1.1   0.5  76  69530 UGC 12159             
N7357 224223.9 +301019 15.2  8   1.5   0.7 120  69544 UGC 12162             
N7358 224536.3 -650718 13.7  8   1.9   0.5 176  69664 ESO 109-18            
N7359 224447.9 -234117 13.5  8   2.4   0.6  55  69638 ESO 534-22            
N7360 224334.1 +040907 14.6  8   0.7   0.4 153  69591 UGC 12167             
N7361 224217.9 -300327 13.0  8   3.9   1.0   4  69539 IC 5237               
N7362 224349.2 +084221 13.8  8   1.1   0.8 175  69602 UGC 12171             
N7363 224318.5 +335955 14.5  8   1.1   0.9  91  69580 MCG 6-49-78           
N7364 224424.2 -000945 13.6  8   1.8   1.1  65  69630 UGC 12174             
N7365 224510.0 -195706 14.0  8   1.5   1.0  34  69651 ESO 603-10            
N7366 224426.6 +104655 15.2  8   0.4   0.4   0  69629 MCG 2-58-4            
N7367 224434.2 +033847 14.7  8   1.6   0.4 128  69633 UGC 12175             
N7368 224531.4 -392031 13.2  8   2.9   0.6 130  69661 ESO 345-49            
N7369 224412.2 +342106 14.7  8   1.4   1.1  26  69619 MCG 6-49-80           
N7370 224537.1 +110330 16.1  8   0.5   0.2 132  69662 NPM1G +10.0561        
N7371 224603.6 -110002 12.5  8   2.0   2.0   0  69677 MCG -2-58-1           
N7372 224546.0 +110753 14.5  8   1.0   0.9  78  69670 MCG 2-58-5            
N7373 224619.4 +031236 14.7  8   1.3   0.5  16  69688 ZWG 379.4             
N7374 224601.1 +105113 14.8  8   0.9   0.7  93  69676 NGC 7374A             
N7374A224601.1 +105113 14.8  8   0.9   0.7  93  69676 NGC 7374              
N7374B224559.2 +105205 15.5  8   0.4   0.2 160  69675 IC 1452               
N7375 224632.0 +210503 14.6  8   0.8   0.6  60  69695 MCG 3-58-3            
N7376 224717.5 +033843 15.5  8   0.7   0.5 142  69715 ZWG 379.6             
N7377 224747.4 -221841 11.9  8   3.0   2.5 101  69733 ESO 534-26            
N7378 224747.5 -114900 13.5  8   1.5   0.9 175  69734 MCG -2-58-5           
N7379 224732.9 +401421 14.3  8   1.1   0.8  81  69724 UGC 12187             
N7380 224720.9 +580757       3  20.0   0.0   0        OCL 244               
N7381 225008.1 -194329 15.0  8   0.7   0.5 123  69828 ESO 603-17            
N7382 225023.8 -365125 14.6  8   1.2   0.4 109  69840 ESO 406-15            
N7383 224935.5 +113325 15.1  8   0.8   0.7 174  69809 MCG 2-58-14           
N7384 224942.5 +112917       1   0.0   0.0   0                              
N7385 224954.6 +113629 13.2  8   1.3   1.1  36  69824 UGC 12207             
N7386 225002.0 +114153 13.5  8   1.8   1.1 150  69825 UGC 12209             
N7387 225017.6 +113814 15.3  8   0.7   0.4  48  69834 MCG 2-58-22           
N7388 225021.0 +114241       1   0.0   0.0   0                              
N7389 225016.0 +113400 14.8  8   1.4   0.9 144  69836 MCG 2-58-19           
N7390 225019.5 +113152 15.3  8   1.0   0.7 177  69837 MCG 2-58-20           
N7391 225036.0 -013241 13.2  8   1.7   1.5  70  69847 UGC 12211             
N7392 225148.6 -203631 12.6  8   2.2   1.4 123  69887 ESO 603-22            
N7393 225138.2 -053326 13.6  8   2.0   0.9  88  69874 MCG -1-58-2           
N7394 225023.0 +520808       3   0.0   0.0   0                              
N7395 225102.8 +370518 15.0  8   1.2   1.1 123  69861 UGC 12216             
N7396 225222.6 +010532 13.8  8   2.4   1.6 103  69889 UGC 12220             
N7397 225246.6 +010757 15.3  8   0.7   0.5 159  69904 MCG 0-58-8            
N7398 225249.2 +011206 14.6  8   1.2   0.8  75  69905 UGC 12225             
N7399 225239.3 -091603 14.6  8   0.9   0.4 150  69902 MCG -2-58-6           
N7400 225420.8 -452050 13.6  8   2.7   0.5   2  69967 ESO 290-22            
N7401 225258.5 +010833 15.8  8   1.0   0.6  84  69911                       
N7402 225304.4 +010842 15.5  8   0.7   0.5  50  69914 MCG 0-58-10           
N7403 225306.3 +012856       1   0.0   0.0   0                              
N7404 225418.6 -391853 13.8  8   1.5   0.8   2  69964 IC 5260               
N7405 225336.0 +122836       0   0.0   0.0   0                              
N7406 225356.4 -063444 15.0  8   1.1   0.6  75  69947 MCG -1-58-3           
N7407 225321.0 +320747 14.0  8   2.0   0.9 152  69922 UGC 12230             
N7408 225556.7 -634143 13.3  8   1.6   1.2 167  70037 ESO 109-26            
N7409 225348.0 +201239 15.4  8   0.6   0.4 162  69939 ZWG 453.18            
N7410 225500.6 -393944 11.3  8   5.2   1.6  45  69994 ESO 346-12            
N7411 225434.8 +201412 14.4  8   0.9   0.9   0  69974 UGC 12241             
N7412 225546.1 -423829 11.9  8   3.8   2.8  75  70027 ESO 290-24            
N7412A225707.0 -424818 14.5  8   3.5   0.5  91  70089 ESO 290-28            
N7413 225503.0 +131316 15.1  8   1.0   0.7  81  69997 MCG 2-58-35           
N7414 225524.3 +131456 16.8  8   0.4   0.2 174  70008 NPM1G +12.0575        
N7415 225451.7 +201544 15.5  8   1.1   0.2 128  69984 UGC 12244             
N7415 225453.6 +201543 15.5  8   0.5   0.3 100  69985 UGC 12244             
N7416 225541.6 -052942 13.2  8   3.2   0.7 115  70025 MCG -1-58-4           
N7417 225749.1 -650218 13.2  8   2.4   1.6   2  70113 ESO 109-28            
N7418 225635.9 -370144 11.7  8   3.5   2.6 139  70069 ESO 406-25            
N7418A225641.2 -364622 13.8  8   3.5   1.8  83  70075 ESO 406-27            
N7419 225420.0 +604856       3   6.0   0.0   0        OCL 250               
N7420 225532.0 +294820 15.1  8   0.8   0.6  45  70017 MCG 5-54-18           
N7421 225654.6 -372042 12.5  8   2.0   1.9  78  70083 ESO 346-17            
N7422 225612.3 +035537 14.3  8   1.0   0.8 140  70048 UGC 12254             
N7423 225508.5 +570548       3   5.0   0.0   0        OCL 246               
N7424 225718.4 -410415 10.9  8   9.5   8.1 101  70096 ESO 346-19            
N7425 225715.6 -105700 15.6  8   0.9   0.6  60  70097 MCG -2-58-13          
N7426 225603.0 +362144 13.4  8   1.7   1.4  72  70042 UGC 12256             
N7427 225709.8 +083022 16.1  8   0.7   0.7   0  70091 MCG 1-58-16           
N7428 225719.5 -010257 13.5  8   2.4   1.4 160  70098 UGC 12262             
