 2332 LYN 07 09 33.8 +50 10 53 8 S0   13.8   1.50   1.0  60     20276  3699             
 2333 GEM 07 08 21.2 +35 10 10 8 Sa   14.2   1.00   0.7  35     20223  3689             
 2334 LYN 07 11 33.6 +50 14 54 8 C    14.7   0.90   0.7  80     20357                   
 2335 MON 07 06 49.4 -10 01 43 3 III3  7.2  12.00                             
 2336 CAM 07 27 03.6 +80 10 38 8 SBbc 11.1   6.80   3.7 178     21033  3809        
 2337 LYN 07 10 13.6 +44 27 23 8 Irr  13.0   2.30   1.7 120     20298  3711             
 2338 MON 07 07 47.3 -05 43 11 3 OCL                                                    
 2339 GEM 07 08 20.3 +18 46 44 8 SBbc 12.5   2.70   2.0 175     20222  3693             
 2340 LYN 07 11 10.7 +50 10 27 8 E    12.9   1.80   1.2  80     20338  3720             
 2341 GEM 07 09 12.0 +20 36 10 8 Sc   13.9   0.80   0.8         20259  3708             
 2342 GEM 07 09 18.1 +20 38 11 8 Sc   13.2   1.40   1.3 126     20265  3709             
 2343 MON 07 08 06.7 -10 37 00 3 III3  6.7   7.00                             
 2344 LYN 07 12 28.6 +47 10 00 8 SBbc 12.8   1.70   1.7         20395  3734             
 2345 CMA 07 08 18.7 -13 11 37 3 I3m   7.7  12.00                             
 2346 MON 07 09 22.5 -00 48 24 6 PN   10.0   0.92                                       
 2347 CAM 07 16 04.0 +64 42 39 8 Sb   13.2   1.80   1.3 175     20539  3759        
 2348 VOL 07 03 02.6 -67 23 38 3 OCL       180.00 100.0                                 
 2349 MON 07 10 48.1 -08 35 36 3 OCL                                                    
 2350 CMI 07 13 12.1 +12 15 57 8 S0-a 14.0   1.40   0.7 110     20416  3747             
 2351 MON 07 13 30.0 -10 29 00 0 *Grp                                                   
 2352 CMA 07 13 05.7 -24 02 22 0 *Grp        5.00                                       
 2353 MON 07 14 30.3 -10 15 57 3 II2p  7.1  20.00                             
 2354 CMA 07 14 15.2 -25 41 33 3 III2  6.5  20.00                             
 2355 GEM 07 16 59.2 +13 45 00 3 II2p  9.7   9.00                                       
 2356 GEM 07 16 59.2 +13 45 00 3 II2p  9.7   9.00                                       
 2357 GEM 07 17 40.9 +23 21 21 8 Sc   14.4   3.60   0.5 122     20592  3782             
 2358 CMA 07 16 56.3 -17 07 00 3 OCL         8.00                                       
 2359 CMA 07 18 30.9 -13 13 38 5 EN         10.00   5.0                       
 2360 CMA 07 17 43.1 -15 38 29 3 II2m  7.2  13.00                             
 2361 CMA 07 18 23.7 -13 12 34 5 EN                                                     
 2362 CMA 07 18 41.4 -24 57 15 3 I3p   4.1   8.00                             
 2363 CAM 07 28 29.9 +69 11 32 8 Irr  15.5   1.60   1.0  20     93088  3847        
 2364 MON 07 20 46.4 -07 33 00 3 OCL                                                    
 2365 GEM 07 22 22.3 +22 04 58 8 SBa  13.6   2.40   1.3 170     20838  3821             
